Symbol,Score
COCHINSHIP,70
ASIANTILES,70
ENGINERSIN,70
PPL,70
RACLGEAR,70
GVPIL,70
GODIGIT,70
BANKBETA,70
GUFICBIO,65
TVSSCS,65
EXICOM,60
UNIECOM,60
WHEELS,60
HDFCNIFBAN,60
DYNAMATECH,60
NDRAUTO,60
VSTTILLERS,60
QUICKHEAL,60
SUYOG,60
RALLIS,60
SEAMECLTD,60
NELCO,60
INDOFARM,60
MANGLMCEM,60
QPOWER,60
JINDALPOLY,60
PRABHA,60
JPOLYINVST,60
NEWGEN,60
VIKRAN,60
EASEMYTRIP,60
GOODLUCK,60
AAREYDRUGS,60
VMSTMT,60
KELLTONTEC,60
ABSLBANETF,60
EBBETF0433,60
SMSPHARMA,60
SWSOLAR,60
MSPL,60
INDOWIND,60
PSUBNKBEES,60
KNRCON,60
INFOBEAN,60
GENESYS,60
PNB,60
MPSLTD,60
PVTBANKADD,60
SENSEXBETA,60
GPTINFRA,60
RBLBANK,60
BLISSGVS,60
SETFNIFBK,60
CELLO,60
SONATSOFTW,60
SHRINGARMS,60
STARCEMENT,60
EMMVEE,60
TEXRAIL,55
HINDOILEXP,55
PSUBANK,55
SALZERELEC,55
ITC,55
TIRUPATIFL,55
AEROFLEX,55
HFCL,55
FLAIR,55
BANKNIFTY1,55
BAJEL,55
BANKBARODA,55
ELM250,55
CENTRALBK,55
BHARATSE,55
UNIONBANK,55
CIEINDIA,55
ELLEN,55
FORCEMOT,55
INDNIPPON,55
NUCLEUS,55
INDOSTAR,55
OAL,55
KOLTEPATIL,55
MBAPL,55
ONEPOINT,55
DIACABS,55
PENIND,55
RUSTOMJEE,55
SRF,55
SEPC,55
MAHABANK,55
BLSE,55
BECTORFOOD,55
BANKIETF,55
OSWALPUMPS,55
PRECWIRE,55
PSB,55
ASIANENE,55
UCOBANK,55
HUHTAMAKI,55
IOB,55
JSL,55
KAMOPAINTS,55
M&MFIN,55
YATRA,55
FCL,55
MICEL,55
HILINFRA,55
JAYNECOIND,55
ANUP,55
PUNJABCHEM,55
MAPMYINDIA,55
SANATHAN,55
RELIGARE,55
TRANSRAILL,55
GKSL,55
VERTOZ,55
SILVERCASE,50
KDDL,50
STEL,50
SALASAR,50
KAJARIACER,50
DCXINDIA,50
JINDALPHOT,50
OFSS,50
ANURAS,50
APLLTD,50
SCHNEIDER,50
UNIONGOLD,50
STERTOOLS,50
LXCHEM,50
PVP,50
COFFEEDAY,50
AXISILVER,50
PTCIL,50
SINDHUTRAD,50
ONWARDTEC,50
AXISCADES,50
TIPSMUSIC,50
QGOLDHALF,50
SILVERBETA,50
ALPL30IETF,50
CCL,50
NIITLTD,50
INDOTHAI,50
SOTL,50
ECLERX,50
BANKINDIA,50
DCAL,50
ARKADE,50
CIGNITITEC,50
CHEMFAB,50
JASH,50
ORIENTTECH,50
VIPIND,50
ASMS,50
JINDWORLD,50
RATEGAIN,50
KANSAINER,50
SMLMAH,50
EIDPARRY,50
KRBL,50
HDFCMID150,50
PARACABLES,50
URBANCO,50
BBNPPGOLD,50
ORKLAINDIA,50
J&KBANK,50
INDOTECH,50
INDIAGLYCO,50
INTELLECT,50
SAATVIKGL,50
MARINE,50
ALPHAETF,50
SPIC,50
RAMKY,50
TRAVELFOOD,50
AUROPHARMA,50
AURUM,50
PNBHOUSING,50
AEGISVOPAK,50
IDBI,50
ARVSMART,50
WALCHANNAG,50
GPIL,50
TFCILTD,50
ALPHA,47
JAYKAY,47
KHADIM,47
KSOLVES,45
BLUEJET,45
PRAJIND,45
SURYODAY,45
RKSWAMY,45
INDGN,45
OLAELEC,45
ORIENTHOT,45
PCBL,45
AFSL,45
AGARIND,45
RAMASTEEL,45
WENDT,45
FIRSTCRY,45
KFINTECH,45
MAKEINDIA,45
GANESHCP,45
GALAXYSURF,45
KRISHANA,45
HAPPSTMNDS,45
STYLAMIND,45
GRINFRA,45
AZAD,45
SHOPERSTOP,45
SIS,45
ICRA,45
ZAGGLE,45
SHANTIGEAR,45
ALLTIME,45
AKUMS,45
EPL,45
CAPILLARY,45
SANGHIIND,42
YATHARTH,40
IEX,40
SUNTECK,40
ASHOKLEY,40
DLINKINDIA,40
RAINBOW,40
CONFIPET,40
PARADEEP,40
HIKAL,40
ASTEC,40
AHLUCONT,40
DELHIVERY,40
ADANIENSOL,40
BAYERCROP,40
DEN,40
SARDAEN,40
ABBOTINDIA,40
HAVELLS,40
SKIPPER,40
NIITMTS,40
POLYCAB,40
PRUDENT,40
HINDCOPPER,40
SPLPETRO,40
GODREJCP,40
MEDICO,40
DBCORP,40
BRITANNIA,40
PNCINFRA,40
RAJRATAN,40
AUTOIETF,40
JSWINFRA,40
MANAPPURAM,40
SFL,40
TCIEXP,40
CMSINFO,40
NRBBEARING,40
BOROLTD,40
MANAKCOAT,40
BAJAJCON,40
PRICOLLTD,40
STAR,40
DATAPATTNS,40
SETFNN50,40
MAXESTATES,40
GPPL,40
ADFFOODS,40
MUFIN,40
TEGA,40
STARHEALTH,40
ACCELYA,40
BSOFT,40
GOCOLORS,40
EXCELSOFT,40
HONASA,40
VISHNU,40
GREENLAM,40
RAMCOSYS,40
KINGFA,40
SBICARD,40
ENDURANCE,40
WHIRLPOOL,40
SBFC,40
STLTECH,40
BALAJITELE,40
ADVENZYMES,40
ROTO,40
HARIOMPIPE,40
MINDTECK,40
CHOICEIN,40
THANGAMAYL,40
MARKOLINES,40
HATHWAY,40
SHAILY,40
LGBBROSLTD,40
NLCINDIA,40
CHALET,40
ATUL,40
GATEWAY,40
TVSMOTOR,40
MUTHOOTCAP,40
CUPID,40
RRKABEL,40
MARATHON,40
HPL,40
KTKBANK,40
SIGNATURE,40
GRWRHITECH,40
BIGBLOC,40
CORONA,40
DYCL,40
MEDANTA,40
RML,40
OMAXE,40
WSI,40
SYNCOMF,40
ADVANIHOTR,40
IMPAL,40
FORTIS,40
RENUKA,40
FIVESTAR,40
JKTYRE,40
ASTRAL,40
GANESHHOU,40
ADVAIT,40
ADOR,40
INDIANB,40
BIKAJI,40
MCLEODRUSS,40
NARMADA,40
ICICIAMC,40
EDELWEISS,40
DWARKESH,40
ADANIPORTS,40
NEPHROPLUS,40
CENTUM,40
SAKSOFT,40
IIFL,40
CSBBANK,40
PARKHOSPS,40
PURVA,40
PRIMESECU,40
GRANULES,40
MANINDS,40
GEOJITFSL,40
YESBANK,40
FSL,40
PFC,40
SAFARI,40
VIYASH,40
KEI,40
VAKRANGEE,40
MMFL,40
SUNTV,40
GESHIP,40
EMKAY,40
STYRENIX,40
RATNAMANI,40
KAMDHENU,40
JKLAKSHMI,40
PFOCUS,40
FLUOROCHEM,40
DCBBANK,40
GMRAIRPORT,40
JMFINANCIL,40
VEEDOL,40
SANGHVIMOV,40
BLKASHYAP,40
PVRINOX,40
REDINGTON,40
AIAENG,40
VIMTALABS,40
ABB,40
TIIL,40
ADANIENT,40
HUBTOWN,40
LANDMARK,40
TIMKEN,40
GSPL,40
COMMOIETF,40
SIYSIL,40
SULA,40
JKCEMENT,40
LALPATHLAB,40
ASTRAMICRO,40
UNITDSPR,40
MHRIL,40
LLOYDSME,40
INDIAMART,40
SILVERADD,40
AJMERA,40
CANBK,40
ARMANFIN,40
CYIENTDLM,40
NEXT50,40
SBC,40
SUMICHEM,40
JUNIORBEES,40
DIVISLAB,40
THYROCARE,40
ARTEMISMED,40
MARUTI,40
TCPLPACK,40
UTKARSHBNK,40
HDFCSENSEX,40
BHARTIARTL,40
SATIN,40
ASALCBR,40
RAMRAT,40
NIFTYBETA,40
LGEINDIA,40
VIDYAWIRES,40
RTNPOWER,40
RAMAPHO,40
NIFTYBEES,40
ARVIND,40
CONTROLPR,40
GLOBUSSPR,40
MOM30IETF,40
ADANIPOWER,40
GUJGASLTD,40
RPGLIFE,40
WAKEFIT,40
SIRCA,40
GHCLTEXTIL,40
POONAWALLA,40
RPOWER,40
DATAMATICS,40
NDTV,40
SPANDANA,40
BANKBEES,40
BIRLAMONEY,40
LT,40
UJJIVANSFB,40
KIRLPNU,40
ULTRACEMCO,40
COFORGE,40
PPLPHARMA,40
JYOTHYLAB,40
COLPAL,40
ONMOBILE,40
LEMERITE,40
NMDC,40
HCG,40
IDFCFIRSTB,40
SHK,40
BAJAJ-AUTO,40
PRINCEPIPE,40
HINDWAREAP,40
ATALREAL,40
MANKIND,40
RECLTD,40
TVTODAY,40
UPL,40
VGUARD,40
MUKANDLTD,40
AFFLE,40
PETRONET,40
LATENTVIEW,40
CEMPRO,40
JINDALSTEL,40
MFSL,40
HOMEFIRST,40
NIBE,40
MOSCHIP,40
MAHSEAMLES,40
TMCV,40
STOVEKRAFT,40
AGARWALEYE,40
ONESOURCE,40
UNIMECH,40
TSFINV,40
PCJEWELLER,40
MOREPENLAB,40
BANDHANBNK,40
CARERATING,40
MRPL,40
QUADFUTURE,40
INDIGOPNTS,40
RAMCOCEM,40
NIF100BEES,40
JUBLCPL,40
ATULAUTO,40
GUJTHEM,40
KABRAEXTRU,40
KPIL,40
KAMATHOTEL,40
KARURVYSYA,40
CUMMINSIND,40
KOPRAN,40
HEXT,40
AJAXENGG,40
TRENT,40
LMW,40
LIBERTSHOE,40
LICHSGFIN,40
LUMAXIND,40
TVSHLTD,40
NCC,40
BLUEDART,40
HYUNDAI,40
PRSMJOHNSN,40
AVL,40
SHILCTECH,40
WAAREEENER,40
RAYMOND,40
RCF,40
SAPPHIRE,40
RICOAUTO,40
SMCGLOBAL,40
LLOYDSENT,40
RUPA,40
DSSL,40
KRN,40
MANBA,40
JINDALSAW,40
SBIN,40
ACMESOLAR,40
PRAKASH,40
SWIGGY,40
PIDILITIND,40
MAYURUNIQ,40
CARRARO,40
BHARATFORG,40
SANDHAR,40
NILKAMAL,40
CONSUMBEES,40
NOCIL,40
MAMATA,40
IGIL,40
IKS,40
RTNINDIA,40
BEPL,40
EUROPRATIK,40
BLACKBUCK,40
SWANCORP,40
BIRLACORPN,40
SBIBPB,40
SHREDIGCEM,40
PGHL,40
DRREDDY,40
EICHERMOT,40
EQUITASBNK,40
BPCL,40
ELECTCAST,40
DEVX,40
ELGIEQUIP,40
ESCORTS,40
GHCL,40
FACT,40
ATLANTAELE,40
FINCABLES,40
RNBDENIMS,40
UFLEX,40
STUDDS,40
SGMART,40
UTIAMC,40
DEEPAKFERT,40
DCMSHRIRAM,40
EPACKPEB,40
GRAPHITE,40
PIRAMALFIN,40
VIKRAMSOLR,40
PATELRMART,40
CHAMBLFERT,40
WEWORK,40
CHOLAFIN,40
ADVANCE,40
PACEDIGITK,40
SHALBY,40
COROMANDEL,40
COSMOFIRST,40
CRISIL,40
RUBICON,40
CRAMC,40
LAXMIINDIA,40
CPPLUS,40
RHIM,40
INDHOTEL,40
HINDPETRO,40
SAMBHV,40
FISCHER,40
DIGITIDE,40
IFBIND,40
BELRISE,40
THELEELA,40
LENSKART,40
EFCIL,40
GMMPFAUDLR,40
GILLETTE,40
INFY,40
INGERRAND,40
TATAINVEST,40
IOC,40
IONEXCHANG,40
HDBFS,40
HCC,40
BRIGHOTEL,40
HEROMOTOCO,40
BOMDYEING,40
GMBREW,40
GNFC,40
GODFRYPHLP,40
RAYMONDREL,40
GLAND,40
FMGOETZE,40
JSWCEMENT,40
LOTUSDEV,40
CASTROLIND,40
JSLL,40
SHANTIGOLD,40
HDFCBANK,40
HEG,40
EBGNG,40
NORTHARC,40
HITECH,40
PANAMAPET,40
GAIL,40
MEDIASSIST,40
DODLA,40
LIQUIDIETF,40
KIMS,40
INDSWFTLAB,40
SAREGAMA,40
ABCAPITAL,40
SOLARWORLD,40
IPL,40
ANGELONE,40
ERIS,40
VOLTAMP,40
INNOVACAP,40
GMDCLTD,40
JARO,40
CHOLAHLDNG,40
SHYAMMETL,40
PANACEABIO,40
SBCL,40
NAM-INDIA,40
SANGAMIND,40
PLATIND,40
HDFCAMC,40
MON100,40
ENTERO,40
GULFOILLUB,40
PARKHOTELS,40
PFS,40
PGEL,40
EPACK,40
UTLSOLAR,40
TENNIND,40
BALRAMCHIN,40
BALMLAWRIE,40
INDUSINDBK,40
KIRLOSENG,40
ROLEXRINGS,40
FMCGIETF,40
URJA,40
WABAG,40
ATGL,40
TIINDIA,40
ASHOKA,40
CANTABIL,40
ASKAUTOLTD,40
TECHNOE,40
NYKAA,40
FINOPB,40
BAJAJHIND,40
SJS,40
SIGACHI,40
PAYTM,40
DEEPAKNTR,40
OBEROIRLTY,40
SOUTHBANK,40
MONTECARLO,40
NUVOCO,40
PSPPROJECT,40
MUTHOOTMF,40
DEVYANI,40
ASAHIINDIA,40
HUDCO,40
SURAJEST,40
DOLLAR,40
CGCL,40
CHEMPLASTS,40
INDIASHLTR,40
SERVOTECH,40
ACUTAAS,40
VIJAYA,40
CYIENT,40
MUKKA,40
GRINDWELL,40
FINEORG,40
EUREKAFORB,40
GALAPREC,40
IBULLSLTD,40
SUNDRMFAST,40
VSTIND,40
SUNPHARMA,40
TATACOMM,40
LTF,40
RELAXO,40
VINDHYATEL,40
INTERARCH,40
STANLEY,40
MAHLOG,40
TATAELXSI,40
SOLARA,40
BEL,40
NAVA,40
UNICHEMLAB,40
TATAPOWER,40
ADANIGREEN,40
TTKPRESTIG,40
AGIIL,40
MAITHANALL,40
SANSTAR,40
TITAN,40
TATACONSUM,40
TMPV,40
TATASTEEL,40
TIRUMALCHM,40
THERMAX,40
VADILALIND,40
THOMASCOOK,40
SPMLINFRA,40
BAJAJHFL,40
SIEMENS,40
JGCHEM,40
KRYSTAL,40
REMSONSIND,40
GOCLCORP,40
SRM,40
BHARTIHEXA,40
SIMPLEXINF,40
BALUFORGE,40
GILT5YBEES,40
BASF,40
SYMPHONY,40
DEEDEV,40
IXIGO,40
ARIHANTCAP,40
ZEEL,40
TOP10ADD,40
BATAINDIA,40
TDPOWERSYS,40
PIIND,40
WIPRO,40
KROSS,40
INFRABEES,37
LICMFGOLD,37
SHREEJISPG,37
GOLDIETF,37
AXISGOLD,37
